sample,Mass,PD,TDT
VA1_336,0.222,8,78
NC_217,0.377,11,77
QC93_121,0.3,9,71
QC32_396,0.291,9,79
NY_110,0.281,13,72
VA2_14,0.245,9,65
VA1_167,0.22,11,73
QC32_162,0.304,12,74
VA1_107,0.277,11,70
QC93_39,0.237,12,68
QC32_64,0.274,13,72
QC93_69,0.236,12,71
VA1_274,0.39,11,77
QC93_325,0.285,8,78
QC32_67,0.216,10,69
VA1_280,0.257,9,75
NC_137,0.264,11,73
VA1_380,0.329,9,79
VA1_170,0.29,11,73
VA2_91,0.242,10,69
VA2_89,0.223,12,71
VA2_235,0.362,9,75
QC32_165,0.334,11,73
VA1_276,0.334,10,76
QC93_36,0.238,12,68
VA2_237,0.273,9,75
VA2_347,0.283,8,78
NC_410,0.282,11,85
NC_131,0.226,10,72
NY_353,0.373,11,81
VA1_298,0.214,9,75
QC93_18,0.312,11,67
NC_393,0.305,10,80
NY_140,0.306,11,73
VA1_455,0.252,12,92
VA1_206,0.317,11,77
VA1_205,0.187,10,76
QC93_360,0.229,8,78
QC93_100,0.185,10,69
QC32_254,0.329,11,77
VA1_203,0.276,10,76
VA1_169,0.307,11,73
VA1_211,0.342,10,76
VA2_119,0.217,11,70
QC32_225,0.263,11,77
QC93_19,0.306,10,66
VA2_16,0.227,10,66
NY_109,0.269,10,69
QC32_183,0.352,11,77
VA1_323,0.329,8,78
QC32_158,0.401,11,73
NY_139,0.328,12,74
NC_242,0.306,11,77
QC32_60,0.279,11,70
QC32_163,0.305,10,72
NC_86,0.249,13,72
VA2_200,0.25,9,75
VA1_28,0.34,12,68
VA1_106,0.249,12,71
NC_136,0.356,11,73
VA1_48,0.238,13,72
QC32_255,0.27,9,75
QC93_143,0.213,10,72
NC_412,0.329,9,83
NC_34,0.271,13,69
NC_355,0.274,11,81
NC_130,0.265,10,72
NC_72,0.247,13,72
NC_433,0.295,13,87
NY_84,0.246,13,72
NC_359,0.387,8,78
NY_271,0.396,12,78
NC_216,0.291,12,78
NC_358,0.312,9,79
NY_272,0.356,12,78
NY_147,0.217,10,72
NY_73,0.244,12,71
NY_108,0.258,13,72
QC32_374,0.354,8,78
QC32_7,0.332,13,69
NY_145,0.253,10,72
NY_85,0.264,12,71
NC_431,0.272,9,83
QC32_164,0.326,11,73
NY_13,0.31,13,69
VA1_383,0.671,10,80
QC32_63,0.299,12,71
QC93_21,0.232,10,66
NY_83,0.307,13,72
VA1_45,0.385,11,67
QC32_388,0.261,7,77
QC32_65,0.298,12,71
VA2_149,0.244,9,71
VA1_112,0.252,13,72
QC32_250,0.362,10,76
NY_284,0.388,10,76
QC93_369,0.396,8,78
QC93_20,0.262,10,66
VA2_350,0.267,10,80
QC93_103,0.169,10,69
QC32_378,0.324,8,78
VA2_114,0.273,12,71
QC93_37,0.26,11,67
NY_326,0.304,8,78
VA1_172,0.262,9,71
VA2_197,0.283,8,74
QC93_33,0.248,11,67
QC32_122,0.289,12,74
QC32_55,0.293,12,71
QC32_62,0.26,12,71
VA2_120,0.223,11,73
NY_269,0.292,8,74
VA1_27,0.317,11,67
QC32_161,0.365,11,73
QC93_41,0.279,10,66
VA2_25,0.313,11,67
VA1_297,0.235,10,76
QC93_151,0.137,9,71
VA2_15,0.284,12,68
QC32_53,0.242,11,70
VA2_118,0.276,12,71
VA2_238,0.322,11,77
VA2_90,0.291,10,69
VA1_113,0.199,10,69
VA2_428,0.305,9,83
QC93_370,0.283,8,78
NC_240,0.306,9,75
VA2_342,0.323,8,78
VA2_127,0.289,9,71
VA2_116,0.258,11,70
QC93_94,0.251,12,71
QC93_105,0.231,12,71
VA2_87,0.291,11,70
QC93_142,0.305,9,71
VA1_204,0.348,9,75
QC93_248,0.304,7,73
VA2_35,0.28,12,68
VA2_88,0.23,12,71
VA2_23,0.232,12,68
VA2_125,0.252,9,71
VA2_352,0.271,9,79
